File,JobIterations,QPS,Burst,PostgresDeploy,App,PostgresService,50th,99th,Max,Avg
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_50.log,1,10,10,10,10,10,NA,35500,40000,16250
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_62.log,1,10,10,10,10,10,NA,40000,40000,17200
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_18.log,1,10,10,20,20,20,NA,40000,40000,16900
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_30.log,1,10,10,20,20,20,NA,40000,40000,16925
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_42.log,1,10,10,20,20,20,NA,40000,40000,17200
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_54.log,1,10,10,20,20,20,NA,40000,40000,17500
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_6.log,1,10,10,20,20,20,NA,40000,40000,17100
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_66.log,1,10,10,20,20,20,NA,40000,40000,17250
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_10.log,1,10,10,40,40,40,NA,40000,40000,17500
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_22.log,1,10,10,40,40,40,NA,40000,40000,17350
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_34.log,1,10,10,40,40,40,NA,40000,40000,17437
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_46.log,1,10,10,40,40,40,NA,41000,41000,17412
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_58.log,1,10,10,40,40,40,NA,40000,40000,17237
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_70.log,1,10,10,40,40,40,NA,40000,40000,17750
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_1.log,1,1,1,10,10,10,NA,40000,40000,20650
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_13.log,1,1,1,10,10,10,NA,41000,41000,18950
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_25.log,1,1,1,10,10,10,NA,45000,50000,19500
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_37.log,1,1,1,10,10,10,NA,40000,40000,18200
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_49.log,1,1,1,10,10,10,NA,40000,40000,20500
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_61.log,1,1,1,10,10,10,NA,40000,40000,20500
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_17.log,1,1,1,20,20,20,NA,50000,50000,21025
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_29.log,1,1,1,20,20,20,NA,50000,50000,21250
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_41.log,1,1,1,20,20,20,NA,66000,71000,22850
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_5.log,1,1,1,20,20,20,NA,50000,50000,21275
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_53.log,1,1,1,20,20,20,NA,46000,51000,21400
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_65.log,1,1,1,20,20,20,NA,50000,50000,20725
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_21.log,1,1,1,40,40,40,NA,96000,111000,31375
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_33.log,1,1,1,40,40,40,NA,110000,110000,30375
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_45.log,1,1,1,40,40,40,NA,90000,100000,29137
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_57.log,1,1,1,40,40,40,NA,84500,89000,29975
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_69.log,1,1,1,40,40,40,NA,100000,100000,30087
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_9.log,1,1,1,40,40,40,NA,85000,90000,30337
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_19.log,1,25,25,20,20,20,NA,40000,40000,18175
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_31.log,1,25,25,20,20,20,NA,40000,40000,17300
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_43.log,1,25,25,20,20,20,NA,40000,40000,17925
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_55.log,1,25,25,20,20,20,NA,40000,40000,17650
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_67.log,1,25,25,20,20,20,NA,40000,40000,16975
kubelet-density-heavy_jobIterations1_qps25_burst25_postgres-deploy20_app20_postgres-service20_7.log,1,25,25,20,20,20,NA,40000,40000,17025
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_15.log,1,50,50,10,10,10,NA,35500,40000,16300
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_27.log,1,50,50,10,10,10,NA,40000,40000,18600
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_3.log,1,50,50,10,10,10,NA,40000,40000,17200
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_39.log,1,50,50,10,10,10,NA,35500,40000,16250
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_51.log,1,50,50,10,10,10,NA,40000,40000,16550
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_63.log,1,50,50,10,10,10,NA,40000,40000,17750
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_11.log,1,50,50,40,40,40,NA,40000,40000,17362
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_23.log,1,50,50,40,40,40,NA,40000,40000,16575
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_35.log,1,50,50,40,40,40,NA,40000,40000,18062
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_47.log,1,50,50,40,40,40,NA,40000,40000,17500
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_59.log,1,50,50,40,40,40,NA,40000,40000,17800
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_71.log,1,50,50,40,40,40,NA,40000,40000,17237
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_20.log,1,75,75,20,20,20,NA,40000,40000,16600
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_32.log,1,75,75,20,20,20,NA,40000,40000,16725
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_44.log,1,75,75,20,20,20,NA,40000,40000,16675
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_56.log,1,75,75,20,20,20,NA,40000,40000,17625
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_68.log,1,75,75,20,20,20,NA,40000,40000,17000
kubelet-density-heavy_jobIterations1_qps75_burst75_postgres-deploy20_app20_postgres-service20_8.log,1,75,75,20,20,20,NA,40000,40000,17900
